Triple,Model Score,SUBJECT_CUI,SUBJECT_NAME,PREDICATE,OBJECT_CUI,OBJECT_NAME,PMID_List,PubMed_URLs,PMID_Details
"[11960, 9, 4179]",[2.2433297634124756],C0981934,oat smut allergenic extract,TREATS,C0035457,"Rhinitis, Allergic, Perennial",,,
"[5354, 9, 3972]",[2.1320457458496094],C0055881,clindamycin phosphate,TREATS,C0033860,Psoriasis,,,
"[5325, 9, 3587]",[1.9951646327972412],C0055339,chloramphenicol succinate,TREATS,C0030783,Pellagra,,,
"[6483, 9, 1645]",[1.9416894912719727],C0102819,altrenogest,TREATS,C0014173,Endometrial Hyperplasia,"['39615447', '3103703']","['39615447: https://pubmed.ncbi.nlm.nih.gov/39615447', '3103703: https://pubmed.ncbi.nlm.nih.gov/3103703']","{'39615447': {'Title': 'Effects of altrenogest supplementation in late lactation on reproductive performance of primiparous sows.', 'Authors': 'Oliveira Pires DK, Ferreira SV, Rossato G, Lopes-Ferreira JV, Cardoso LC, Shinkawa AL, Campos Lobato de Almeida FR', 'Source': 'Theriogenology', 'PubDate': '2024 Nov 19', 'DOI': '10.1016/j.theriogenology.2024.11.013', 'Volume': '233', 'Issue': '', 'Pages': '131-138', 'URL': '39615447: https://pubmed.ncbi.nlm.nih.gov/39615447'}, '3103703': {'Title': 'Effects of altrenogest and exogenous gonadotropins on ovarian function and embryo recovery in swine leukocyte antigen inbred miniature swine as influenced by cystic endometrial hyperplasia.', 'Authors': 'Diehl JR, Stuart LD, Goodrowe KL, Wildt DE', 'Source': 'Biol Reprod', 'PubDate': '1986 Dec', 'DOI': '10.1095/biolreprod35.5.1261', 'Volume': '35', 'Issue': '5', 'Pages': '1261-8', 'URL': '3103703: https://pubmed.ncbi.nlm.nih.gov/3103703'}}"
"[6462, 9, 14922]",[1.925934076309204],C0087161,retinol,TREATS,C4076057,Urinary tract infection caused by Klebsiella,,,
"[14125, 9, 4111]",[1.8373124599456787],C2723729,rabbit skin extract,TREATS,C0034886,Rectal pain,,,
"[6020, 9, 1361]",[1.7272872924804688],C0076653,tiaprofenic acid,TREATS,C0011615,"Dermatitis, Atopic",,,
"[13576, 9, 3171]",[1.7261714935302734],C1832049,elotuzumab,TREATS,C0026769,Multiple Sclerosis,['37568823'],['37568823: https://pubmed.ncbi.nlm.nih.gov/37568823'],"{'37568823': {'Title': 'Assessing Osteolytic Lesion Size on Sequential CT Scans Is a Reliable Study Endpoint for Bone Remineralization in Newly Diagnosed Multiple Myeloma.', 'Authors': 'Grunz JP, Kunz AS, Baumann FT, Hasenclever D, Sieren MM, Heldmann S, Bley TA, Einsele H, Knop S, Jundt F', 'Source': 'Cancers (Basel)', 'PubDate': '2023 Aug 7', 'DOI': '10.3390/cancers15154008', 'Volume': '15', 'Issue': '15', 'Pages': '', 'URL': '37568823: https://pubmed.ncbi.nlm.nih.gov/37568823'}}"
"[14254, 9, 1703]",[1.6771156787872314],C2930764,ataluren,TREATS,C0014733,Erysipelas,,,
"[11103, 9, 1160]",[1.6744465827941895],C0770578,"sodium phosphate, monobasic",TREATS,C0009768,Bacterial conjunctivitis,"['29922978', '7228399']","['29922978: https://pubmed.ncbi.nlm.nih.gov/29922978', '7228399: https://pubmed.ncbi.nlm.nih.gov/7228399']","{'29922978': {'Title': 'Novel hydrogel-based ocular drug delivery system for the treatment of conjunctivitis.', 'Authors': 'Deepthi S, Jose J', 'Source': 'Int Ophthalmol', 'PubDate': '2019 Jun', 'DOI': '10.1007/s10792-018-0955-6', 'Volume': '39', 'Issue': '6', 'Pages': '1355-1366', 'URL': '29922978: https://pubmed.ncbi.nlm.nih.gov/29922978'}, '7228399': {'Title': 'Purification and partial characterization of the major outer membrane protein of Chlamydia trachomatis.', 'Authors': 'Caldwell HD, Kromhout J, Schachter J', 'Source': 'Infect Immun', 'PubDate': '1981 Mar', 'DOI': '10.1128/iai.31.3.1161-1176.1981', 'Volume': '31', 'Issue': '3', 'Pages': '1161-76', 'URL': '7228399: https://pubmed.ncbi.nlm.nih.gov/7228399'}}"
"[14446, 9, 2910]",[1.622908353805542],C3272640,anagliptin,TREATS,C0024586,Malignant Carcinoid Syndrome,,,
"[6200, 9, 3962]",[1.5567114353179932],C0081787,isoflupredone acetate,TREATS,C0033777,Pruritus of genital organs,,,
"[6647, 9, 8275]",[1.512763261795044],C0140610,risedronic acid,TREATS,C0270425,Bipolar disorder in remission,,,
